url,file,volume,issue,year,week,date_start,date_end,language
https://www.epid.gov.lk/storage/post/pdfs/en_66a087ce95622_Vol_51_no_27-english.pdf,en_66a087ce95622_Vol_51_no_27-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6696544245aa2_Vol_51_no_26-english.pdf,en_6696544245aa2_Vol_51_no_26-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6694ff674fee1_Vol_51_no_25-english.pdf,en_6694ff674fee1_Vol_51_no_25-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6684d253a04fc_Vol_51_no_24-english.pdf,en_6684d253a04fc_Vol_51_no_24-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66779b291204f_Vol_51_no_23-english.pdf,en_66779b291204f_Vol_51_no_23-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6671117d736a4_Vol_51_no_22-english.pdf,en_6671117d736a4_Vol_51_no_22-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_666820c3d617d_Vol_51_no_21-english.pdf,en_666820c3d617d_Vol_51_no_21-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6668202fbb31f_Vol_51_no_20-english.pdf,en_6668202fbb31f_Vol_51_no_20-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66594f05449fe_Vol_51_no_19-english.pdf,en_66594f05449fe_Vol_51_no_19-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_66470ed89cc08_Vol_51_no_18-english.pdf,en_66470ed89cc08_Vol_51_no_18-english.pdf,,,,,,,English
https://www.epid.gov.lk/storage/post/pdfs/en_6642eb38460d8_Vol_51_no_17-english.pdf,en_6642eb38460d8_Vol_51_no_17-english.pdf,,,,,,,English
